time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
2.025,0.12,-0.03,1.00,0.22,0.07,0.07,0.04,-0.14,-0.02,0.00
2.081,0.10,-0.05,1.01,0.22,0.07,0.07,0.04,-0.14,-0.02,0.00
2.088,0.10,-0.05,1.01,0.22,0.07,0.07,-0.01,-0.09,0.04,0.00
2.089,0.10,-0.05,1.01,-0.01,-0.08,0.19,-0.01,-0.09,0.04,0.00
2.155,0.09,-0.06,1.01,-0.01,-0.08,0.19,-0.01,-0.09,0.04,0.00
2.157,0.09,-0.06,1.01,-0.01,-0.08,0.19,-0.13,0.07,0.15,0.00
2.158,0.09,-0.06,1.01,0.05,-0.17,0.14,-0.13,0.07,0.15,0.00
2.209,0.12,-0.05,0.97,0.05,-0.17,0.14,-0.13,0.07,0.15,0.00
2.221,0.12,-0.05,0.97,0.05,-0.17,0.14,-0.08,-0.09,0.17,0.00
2.222,0.12,-0.05,0.97,0.16,0.01,-0.22,-0.08,-0.09,0.17,0.00
2.275,0.10,-0.04,1.00,0.16,0.01,-0.22,-0.08,-0.09,0.17,0.00
2.286,0.10,-0.04,1.00,0.16,0.01,-0.22,0.05,-0.04,-0.08,0.00
2.286,0.10,-0.04,1.00,-0.03,0.11,0.11,0.05,-0.04,-0.08,0.00
2.341,0.10,-0.03,1.00,-0.03,0.11,0.11,0.05,-0.04,-0.08,0.00
2.352,0.10,-0.03,1.00,-0.03,0.11,0.11,0.10,0.05,-0.19,0.00
2.352,0.10,-0.03,1.00,-0.02,0.10,0.10,0.10,0.05,-0.19,0.00
2.407,0.09,-0.04,0.99,-0.02,0.10,0.10,0.10,0.05,-0.19,0.00
2.419,0.09,-0.04,0.99,-0.02,0.10,0.10,0.05,0.07,-0.12,0.00
2.42,0.09,-0.04,0.99,-0.08,-0.02,-0.04,0.05,0.07,-0.12,0.00
2.474,0.09,-0.05,1.03,-0.08,-0.02,-0.04,0.05,0.07,-0.12,0.00
2.484,0.09,-0.05,1.03,-0.08,-0.02,-0.04,-0.04,0.06,-0.02,0.00
2.484,0.09,-0.05,1.03,-0.04,-0.09,0.30,-0.04,0.06,-0.02,0.00
2.539,0.08,-0.05,1.01,-0.04,-0.09,0.30,-0.04,0.06,-0.02,0.00
2.55,0.08,-0.05,1.01,-0.04,-0.09,0.30,-0.03,0.06,0.00,0.00
2.551,0.08,-0.05,1.01,-0.07,-0.05,0.12,-0.03,0.06,0.00,0.00
2.605,0.05,-0.06,1.01,-0.07,-0.05,0.12,-0.03,0.06,0.00,0.00
2.617,0.05,-0.06,1.01,-0.07,-0.05,0.12,-0.07,0.09,0.08,0.00
2.618,0.05,-0.06,1.01,-0.33,-0.10,0.14,-0.07,0.09,0.08,0.00
2.671,0.10,-0.05,1.01,-0.33,-0.10,0.14,-0.07,0.09,0.08,0.00
2.682,0.10,-0.05,1.01,-0.33,-0.10,0.14,-0.06,0.10,0.06,0.00
2.682,0.10,-0.05,1.01,0.25,0.04,0.15,-0.06,0.10,0.06,0.00
2.737,0.15,-0.03,0.97,0.25,0.04,0.15,-0.06,0.10,0.06,0.00
2.748,0.15,-0.03,0.97,0.25,0.04,0.15,0.11,-0.43,0.11,0.00
2.748,0.15,-0.03,0.97,0.44,0.16,-0.19,0.11,-0.43,0.11,0.00
2.803,0.10,-0.05,1.02,0.44,0.16,-0.19,0.11,-0.43,0.11,0.00
2.815,0.10,-0.05,1.02,0.44,0.16,-0.19,-0.00,-0.04,0.05,0.00
2.816,0.10,-0.05,1.02,-0.20,-0.12,0.20,-0.00,-0.04,0.05,0.00
2.87,0.10,-0.06,1.01,-0.20,-0.12,0.20,-0.00,-0.04,0.05,0.00
2.88,0.10,-0.06,1.01,-0.20,-0.12,0.20,-0.08,0.11,0.07,0.00
2.881,0.10,-0.06,1.01,-0.00,-0.06,0.18,-0.08,0.11,0.07,0.00
2.936,0.11,-0.05,0.96,-0.00,-0.06,0.18,-0.08,0.11,0.07,0.00
2.945,0.11,-0.05,0.96,-0.00,-0.06,0.18,-0.02,-0.11,0.14,0.00
2.946,0.11,-0.05,0.96,0.05,-0.01,-0.30,-0.02,-0.11,0.14,0.00
3.001,0.11,-0.05,1.05,0.05,-0.01,-0.30,-0.02,-0.11,0.14,0.00
3.014,0.11,-0.05,1.05,0.05,-0.01,-0.30,0.02,0.02,-0.03,0.00
3.014,0.11,-0.05,1.05,0.05,0.03,0.35,0.02,0.02,-0.03,0.00
3.095,0.11,-0.05,1.05,0.05,0.03,0.35,0.03,0.04,-0.07,0.00
3.102,0.11,-0.05,1.05,-0.11,0.06,-0.06,0.03,0.04,-0.07,0.00
3.104,0.10,-0.06,1.01,-0.11,0.06,-0.06,0.03,0.04,-0.07,0.00
3.133,0.11,-0.05,0.98,-0.11,0.06,-0.06,0.03,0.04,-0.07,0.00
3.148,0.11,-0.05,0.98,-0.11,0.06,-0.06,-0.02,-0.05,0.07,0.00
3.15,0.11,-0.05,0.98,-0.03,-0.02,-0.11,-0.02,-0.05,0.07,0.00
3.225,0.10,-0.04,1.01,-0.03,-0.02,-0.11,-0.02,-0.05,0.07,0.00
3.226,0.10,-0.04,1.01,-0.03,-0.02,-0.11,0.00,0.06,-0.03,0.00
3.226,0.10,-0.04,1.01,0.20,0.05,0.22,0.00,0.06,-0.03,0.00
3.274,0.09,-0.04,1.00,0.20,0.05,0.22,0.00,0.06,-0.03,0.00
3.276,0.09,-0.04,1.00,0.20,0.05,0.22,0.03,0.06,-0.08,0.00
3.277,0.09,-0.04,1.00,-0.19,0.07,-0.04,0.03,0.06,-0.08,0.00
3.331,0.11,-0.03,1.00,-0.19,0.07,-0.04,0.03,0.06,-0.08,0.00
3.342,0.11,-0.03,1.00,-0.19,0.07,-0.04,0.05,0.04,-0.11,0.00
3.342,0.11,-0.03,1.00,0.06,0.11,0.06,0.05,0.04,-0.11,0.00
3.421,0.11,-0.04,0.99,0.06,0.11,0.06,0.05,0.04,-0.11,0.00
3.429,0.11,-0.04,0.99,0.06,0.11,0.06,0.04,-0.07,-0.03,0.00
3.429,0.11,-0.04,0.99,-0.05,-0.02,0.06,0.04,-0.07,-0.03,0.00
3.483,0.10,-0.05,1.00,-0.05,-0.02,0.06,0.04,-0.07,-0.03,0.00
3.484,0.10,-0.05,1.00,-0.05,-0.02,0.06,-0.02,0.03,-0.01,0.00
3.485,0.10,-0.05,1.00,-0.04,-0.04,0.04,-0.02,0.03,-0.01,0.00
